algorithm,n,disposition,avg_time_s,avg_comparisons,avg_moves_or_swaps,runs
selection,100,A,0.000292641,4950.0,0.0,3
bubble,100,A,7.091333333333334e-06,99.0,0.0,3
insertion_swaps,100,A,1.4331e-05,99.0,0.0,3
insertion_shifts,100,A,1.4798666666666666e-05,99.0,198.0,3
selection,100,D,0.000302787,4950.0,50.0,3
bubble,100,D,0.0007184349999999999,4950.0,4950.0,3
insertion_swaps,100,D,0.000766535,4950.0,4950.0,3
insertion_shifts,100,D,0.0005834070000000001,4950.0,5148.0,3
selection,100,C,0.0003001799333333334,4950.0,94.43333333333334,30
bubble,100,C,0.0005411530333333333,4912.6,2516.5666666666666,30
insertion_swaps,100,C,0.0003923026333333333,2611.133333333333,2516.5666666666666,30
insertion_shifts,100,C,0.0003046648666666666,2611.133333333333,2714.5666666666666,30
selection,200,A,0.0011425826666666666,19900.0,0.0,3
bubble,200,A,1.1645333333333334e-05,199.0,0.0,3
insertion_swaps,200,A,1.3797666666666667e-05,199.0,0.0,3
insertion_shifts,200,A,2.4234333333333333e-05,199.0,398.0,3
selection,200,D,0.0013569826666666666,19900.0,100.0,3
bubble,200,D,0.0033058600000000003,19900.0,19900.0,3
insertion_swaps,200,D,0.004636847,19900.0,19900.0,3
insertion_shifts,200,D,0.0030755373333333333,19900.0,20298.0,3
selection,200,C,0.001955574,19900.0,193.73333333333332,30
bubble,200,C,0.0035603504,19783.666666666668,10020.0,30
insertion_swaps,200,C,0.0025679278,10214.066666666668,10020.0,30
insertion_shifts,200,C,0.0019381942666666665,10214.066666666668,10418.0,30
selection,500,A,0.016631822,124750.0,0.0,3
bubble,500,A,7.365000000000001e-05,499.0,0.0,3
insertion_swaps,500,A,9.358966666666667e-05,499.0,0.0,3
insertion_shifts,500,A,0.00015169533333333335,499.0,998.0,3
selection,500,D,0.011803843,124750.0,250.0,3
bubble,500,D,0.026797139666666664,124750.0,124750.0,3
insertion_swaps,500,D,0.028336240333333335,124750.0,124750.0,3
insertion_shifts,500,D,0.015499619666666667,124750.0,125748.0,3
selection,500,C,0.021479740166666664,124750.0,493.8333333333333,30
bubble,500,C,0.030991782733333337,124442.5,62601.36666666667,30
insertion_swaps,500,C,0.024570843666666665,63094.4,62601.36666666667,30
insertion_shifts,500,C,0.0158530042,63094.4,63599.36666666667,30
selection,1000,A,0.10317553266666667,499500.0,0.0,3
bubble,1000,A,0.00017547033333333335,999.0,0.0,3
insertion_swaps,1000,A,0.00019039833333333334,999.0,0.0,3
insertion_shifts,1000,A,0.0003537083333333333,999.0,1998.0,3
selection,1000,D,0.07064491333333334,499500.0,500.0,3
bubble,1000,D,0.178309434,499500.0,499500.0,3
insertion_swaps,1000,D,0.20470405466666666,499500.0,499500.0,3
insertion_shifts,1000,D,0.13981708166666668,499500.0,501498.0,3
selection,1000,C,0.04304019666666666,499500.0,992.0666666666667,30
bubble,1000,C,0.07894662900000002,498736.6,250602.53333333333,30
insertion_swaps,1000,C,0.05669449676666667,251595.16666666666,250602.53333333333,30
insertion_shifts,1000,C,0.04139513716666667,251595.16666666666,252600.53333333333,30
